coordinate	Pct B6_M_1	Pct C3_M_1	Pct B6C3F1_M_1	Pct C3B6F1_M_1
chr1:4563999	0.888888889	0.966666667	0.954545455	0.894736842
chr1:4564173	0.733333333	0.818181818	0.956521739	0.838709677
chr1:4564399	0.84	0.909090909	0.857142857	0.861111111
chr1:4564610	1	1	1	1
chr1:4564681	0.863636364	0.846153846	0.933333333	1
chr1:4565174	0.62962963	0.863636364	0.684210526	0.892857143
chr1:4565591	0.404761905	0.552631579	0.37037037	0.394736842
chr1:4565603	0.684210526	0.717948718	0.5625	0.542857143
chr1:4565730	0.906976744	0.872340426	0.967741935	0.906976744
chr1:4565907	0.948275862	0.956521739	0.952380952	0.927272727
chr1:4566111	0.916666667	0.882352941	0.934782609	0.904761905
chr1:4566120	0.909090909	0.923076923	0.976190476	0.864864865
chr1:4566613	0.454545455	0.371428571	0.52173913	0.285714286
chr1:4566705	0.566666667	0.540540541	0.722222222	0.696969697
chr1:4567149	0.707317073	0.655172414	0.666666667	0.511627907
chr1:4567534	0.857142857	0.928571429	0.861111111	0.871794872
chr1:4567778	0.882352941	0.925925926	0.902439024	0.893617021
chr1:4568441	0.787878788	0.888888889	0.772727273	0.739130435
chr1:4568650	0.962962963	0.964285714	0.954545455	1
chr1:4568985	0.95	0.970588235	0.967741935	0.959183673
chr1:4569053	0.875	0.9	0.852941176	0.87037037
chr1:4569147	0.948717949	1	0.961538462	0.941176471
chr1:4569645	0.6	0.571428571	0.8	0.888888889
chr1:4569718	0.658536585	1	0.75	0.777777778
chr1:4569771	0.75	1	0.933333333	0.757575758
chr1:4569859	0.862068966	0.931034483	0.916666667	0.954545455
chr1:4569937	0.810810811	0.785714286	0.885714286	0.864864865
chr1:4570278	0.743589744	1	0.666666667	0.75
chr1:4570520	0.961538462	1	0.96969697	0.979591837
chr1:4570565	1	0.945945946	0.951219512	0.953488372
chr1:4570605	0.96875	0.903225806	0.933333333	0.914285714
chr1:4570671	0.964285714	1	0.884615385	0.971428571
chr1:4571268	0.857142857	1	0.833333333	0.8
chr1:4571287	1	1	1	1
chr1:4571523	0.916666667	1	0.857142857	0.925925926
chr1:4571567	0.888888889	1	0.842105263	0.909090909
chr1:4571681	1	1	1	1
chr1:4571838	0.903225806	0.933333333	1	1
chr1:4571887	0.972972973	1	0.954545455	1
chr1:4571906	1	0.952380952	0.961538462	1
chr1:4572093	0.85	0.894736842	0.84	0.826086957
chr1:4572285	0.888888889	0.958333333	0.866666667	1
chr1:4572360	0.652173913	0.821428571	0.78125	0.775510204
chr1:4572455	0.957446809	0.96875	0.971428571	0.949152542
chr1:4572566	0.97826087	0.964285714	1	1
chr1:4573393	0.921052632	1	0.921052632	0.882352941
chr1:4574298	0.888888889	0.952380952	0.9	0.863636364
chr1:4574380	0.743589744	0.545454545	0.681818182	0.818181818
chr1:4574519	0.833333333	0.926829268	0.772727273	0.838709677
chr1:4574722	0.8	0.857142857	0.866666667	0.783783784
chr1:4575019	0.490566038	0.553191489	0.514285714	0.523809524
chr1:4575104	0.92	0.936170213	0.8125	0.883333333
chr1:4575256	0.744680851	0.849056604	0.818181818	0.711111111
chr1:4575578	0.896551724	0.96	0.948717949	0.914893617
chr1:4575600	0.918367347	0.875	0.861111111	0.866666667
chr1:4575779	0.935483871	0.954545455	0.973684211	0.953488372
chr1:4575857	0.794117647	0.972222222	0.925	0.916666667
chr1:4576437	0.942857143	0.9375	1	0.906976744
chr1:4576625	0.967741935	0.851851852	0.958333333	0.964285714
chr1:4576656	0.90625	0.956521739	1	0.962962963
chr1:4576712	0.96969697	0.875	0.866666667	0.807692308
chr1:4577107	0.952380952	0.857142857	0.75	0.6
chr1:4579140	0.9	0.870967742	1	0.909090909
chr1:4579316	0.875	0.6875	0.7	0.823529412
chr1:4579344	0.906976744	1	1	0.942857143
chr1:4580189	0.95	0.933333333	0.871794872	0.939393939
chr1:4580246	0.833333333	0.888888889	0.729166667	0.864864865
chr1:4580298	0.939393939	1	1	1
chr1:4580524	0.733333333	0.9	1	0.666666667
chr1:4580555	0.9375	1	0.894736842	0.923076923
chr1:4580634	0.928571429	0.954545455	1	0.96
chr1:4580780	0.930232558	0.964285714	1	1
chr1:4580958	1	0.967741935	1	0.971428571
chr1:4581036	0.782608696	0.964285714	0.952380952	1
chr1:4581137	0.961538462	1	1	1
chr1:4581176	1	1	0.954545455	0.975
chr1:4581228	1	1	1	1
chr1:4581239	1	0.869565217	1	0.948717949
chr1:4581258	0.95	0.857142857	0.9	0.891304348
chr1:4581295	0.56	0.818181818	0.833333333	0.714285714
chr1:4581349	1	1	0.909090909	0.882352941
chr1:4581360	1	1	0.913043478	0.974358974
chr1:4581370	1	1	1	0.975
chr1:4581375	1	1	1	0.925
chr1:4581413	1	1	1	0.974358974
chr1:4581421	0.970588235	1	0.961538462	0.904761905
chr1:4581443	0.878787879	0.9	0.958333333	0.9
chr1:4581461	1	1	1	0.931818182
chr1:4581476	0.892857143	0.761904762	0.863636364	0.853658537
chr1:4581519	0.947368421	1	1	0.923076923
chr1:4581532	0.926829268	0.9375	0.925925926	0.914285714
chr1:4581567	0.921052632	0.9	1	0.948717949
chr1:4581732	0.894736842	0.823529412	0.820512821	0.744186047
chr1:4581794	0.977777778	0.947368421	1	0.958333333
chr1:4581866	0.93877551	0.948717949	0.813953488	0.9375
chr1:4582152	1	0.96	1	0.979166667
chr1:4582179	0.921052632	0.954545455	1	0.976744186
chr1:4582305	0.757575758	0.814814815	0.64	0.75
chr1:4582321	0.966666667	0.962962963	0.838709677	0.888888889
chr1:4582409	0.763157895	0.705882353	0.894736842	0.805555556
