coordinate	B6	C3	B6C3F1	C3B6F1
chr1:3032136	23	24	23	22
chr1:3032464	23	24	16	27
chr1:3032469	23	23	16	22
chr1:3032639	12	18	11	18
chr1:3032697	13	15	14	15
chr1:3032878	13	8	8	8
chr1:3033016	15	6	11	6
chr1:3033097	26	7	17	14
chr1:3033128	26	9	17	17
chr1:3033667	16	18	19	14
chr1:3033742	15	13	15	13
chr1:3033938	11	11	9	9
