ID	86F_Ratio	119F_Ratio	153F_Ratio	171F_Ratio
cg06197981	0.059549505	0.068544591	0.073825544	0.04130628
cg06198069	0.251974717	0.376297756	0.264648882	0.104757361
cg06198190	0.036950887	0.056750757	0.070024584	0.139641769
cg06198312	1.420947429	1.530544159	1.379031021	0.568068778
cg06198335	0.052619697	0.059524428	0.084509481	0.089233419
cg06198351	0.031298765	0.048688811	0.025468975	0.197845245
cg06198384	0.192593134	0.201693225	0.228878692	0.356200988
cg06198390	4.394171625	4.362500164	5.971628076	3.302376875
cg06198398	0.246388841	0.234093642	0.328026237	0.125754347
cg06198451	0.013069142	0.014914965	0.006931929	0.142259365
cg06198575	14.21579246	8.938594507	10.46195556	0.70338854
cg06198758	0.574222182	0.591899086	0.687996272	1.779014526
cg06198892	0.019393181	0.080244009	0.053006503	0.212569283
cg06198975	12.11744984	10.10454414	11.82792272	7.653022662
cg06199052	4.50360144	9.047057564	5.504566042	1.880517813
cg06199058	0.01383009	0	0.012708649	0.011726236
cg06199346	1.785736848	1.639783364	1.480726894	0.532458179
cg06199468	0.004894656	0.007534819	0	0.004511027
cg06199563	0.022884212	0.016607269	0.002534441	0.018078137
cg06199750	0.060171132	0.060557421	0.037971149	0.069308826
cg06199753	1.380338887	0.581729921	1.259943286	3.577055036
cg06199907	2.608900215	2.569561193	3.890666183	0.513870918
cg06199921	0.146842677	0.200302911	0.244136324	4.085011908
cg06199939	11.1235824	11.69284131	10.71040959	3.796783048
cg06200001	4.346684399	4.080810024	3.966735297	0.717102194
cg06200013	0.020696963	0.025495919	0.043541392	0.033853776
cg06200048	0.158137869	0.215240131	0.180717663	0.132828351
cg06200092	0.262779012	0.272911357	0.155159144	2.066947152
cg06200244	4.001750246	4.420455733	4.182133664	1.152070122
cg06200339	3.936671972	3.723367744	2.413070497	52.69831369
cg06200361	16.11924903	8.540913265	11.02313549	5.986305035
cg06200397	8.63358729	6.546228492	9.715059345	40.5719983
cg06200449	9.750140793	6.5027052	15.2385286	0.131520939
cg06200494	0.012305906	0.012886061	0.010082388	0.024619339
cg06200512	0.072410359	0.08060023	0.04729885	0.833894358
cg06200514	13.28537934	8.006179924	9.811440496	17.50656108
cg06200607	7.160673627	6.83681226	9.076289802	0.431156425
cg06200611	0.275326307	0.206208922	0.265891788	1.445849844
cg06200634	0.504435893	0.807689757	0.590084284	1.439287984
cg06200670	6.383634379	6.31590952	5.997186667	0.660269075
cg06200697	0.183193795	0.265628848	0.195828534	0.33008762
cg06200714	0.035387245	0.032384708	0.048329159	0.018628031
cg06200777	0.063282861	0.070708813	0.081759202	0.093851363
cg06200803	0.043973914	0.043785137	0.067759826	0.154627242
cg06200824	3.232581954	2.940628148	3.195717117	2.003965769
cg06200857	2.4834456	2.138846373	2.621306636	0.739189233
cg06200860	0.054587349	0.065041408	0.061361414	1.723112306
cg06200982	4.068841012	7.344133929	4.990100423	14.58383656
cg06200996	8.733585938	8.539761803	11.20864747	0.230495637
cg06201030	0.11383513	0.09671893	0.076622431	0.19030629
cg06201207	2.415538583	2.442771005	2.865524967	0.727463974
cg06201219	0.53324274	0.718007998	0.725944605	14.33897351
cg06201247	8.707980649	8.604036131	6.676027914	6.895372369
cg06201264	4.235556651	3.217948405	4.980381318	0.219145994
cg06201372	0.060085097	0.066215841	0.09671431	0.187355742
cg06201393	0.231422986	0.330054087	0.375690664	1.890341906
cg06201512	6.133314961	6.122692477	9.36914063	1.725329609
cg06201514	1.033143428	1.234879455	4.192235643	1.688880747
cg06201604	6.939713241	6.36107014	7.91726776	0.442476071
cg06201642	0.060908623	0.066995604	0.088087644	0.647486421
cg06201672	6.795332417	6.291567658	6.770895036	0.500326739
cg06201680	0.003657908	0.023119626	0.00873326	0.073651774
cg06201717	2.661759713	3.022825905	2.831005149	1.380604788
cg06201763	0.419537893	0.50861626	0.456833063	0.892288883
cg06201861	0.978098288	0.9430293	1.226223641	0.418393497
cg06201907	0.059484497	0.05109665	0.012596002	0.372212557
cg06201950	6.746423041	5.130783277	5.273657603	2.967131096
cg06202053	3.803590468	2.429244153	3.621808446	0.767579093
cg06202094	0.018790777	0.023373441	0.037861128	0.0405678
cg06202149	1.658002732	1.864169665	2.058978208	1.418028059
cg06202228	0.087564361	0.094263947	0.124097872	0.116889842
cg06202276	0.694461562	0.492517187	0.693798829	0.301302192
cg06202426	0.897896407	0.961449057	0.966599937	18.7253991
cg06202470	22.0282143	15.07306994	18.02344731	52.62334644
cg06202492	13.19683793	13.73602234	23.03797014	0.38668388
cg06202585	0.074992356	0.183416513	0.070571927	2.647427559
cg06202653	9.900075481	12.71911394	13.25156493	12.7737951
cg06202667	457.1408276	18.95814907	7.946453264	0.438949499
cg06202686	0.043568579	0.066143754	0.081848914	0.161390403
cg06202737	1.048259584	0.809560788	0.433398699	5.970338373
cg06202778	15.03095365	13.46348232	16.00333313	0.639882054
cg06202802	0.509145921	0.495515982	0.568381382	39.60162322
cg06202903	14.07138371	17.96739284	9.249103349	0.184428811
cg06202977	0.063884306	0.070107488	0.090939082	0.14493071
cg06202984	0.056936235	0.066376409	0.06461582	0.093222267
cg06203102	2.688631508	2.860884259	3.198663223	1.598004415
cg06203126	0.02823075	0.047478	0.045925586	0.64081415
cg06203137	37.04062507	33.20396935	22.44338069	4.622616787
cg06203207	0.055518404	0.085517918	0.056487216	0.6665498
cg06203251	16.29516198	12.8876766	15.73571834	1.140170573
cg06203307	5.552467007	5.531141663	7.293429217	1.692976768
cg06203364	0.369667031	0.521680937	0.370885989	0.340452877
cg06203471	0.011943351	0.012128461	0.011190016	0.002318595
cg06203476	0.079792869	0.118335641	0.107937303	0.154975702
cg06203560	0.078124836	0.088674662	0.094383541	0.364995348
cg06203649	2.343426468	2.202279351	1.827257096	0.733170664
cg06203720	0.328640101	0.37461803	0.436275914	0.154502638
cg06203772	1.113564841	1.101089297	0.656762326	1.1468045
cg06203912	0.483910287	0.579360172	0.557568228	0.299884357
cg06203952	0.803794102	0.837244969	0.991763398	4.584350637
cg06203976	4.820716617	3.872056357	5.682099794	5.781250779
cg06204009	7.621707489	6.978578881	6.77252997	1.604950167
cg06204040	0	1.194517742	1.011543042	0.592575015
cg06204062	0.125327623	0.125330883	0.120191991	0.074094855
cg06204101	1.032537363	1.244056313	1.066263085	0.845244102
cg06204126	0.264528566	0.326613176	0.305914141	0.51235696
cg06204229	1.791287643	2.772385019	1.962265361	5.094735962
cg06204447	3.35639583	3.246247118	2.59571676	0.723500424
cg06204482	0.001008355	0.00699351	0.002895612	0.059171521
cg06204618	0.535105977	0.598593885	0.418410082	0.465407806
cg06204623	9.922555456	10.02764634	10.00617067	50.91937983
cg06204629	7.852191525	8.749484482	12.71747784	0.41184876
cg06204638	0.027871841	0.084451321	0.069698394	0.099813351
cg06204665	0.618956302	0.576749297	0.374832457	0.169375256
cg06204711	0.207322671	0.244134862	0.204429105	0.358405721
cg06204730	0.149663384	0.103866729	0.115824195	0.063730731
cg06204735	0.066754315	0.056085914	0.055452295	0.041679029
cg06204745	0.046497452	0.052237074	0.091958513	0.167897774
cg06204755	0.200879506	0.330292729	0.210411472	0.935049402
cg06204800	9.293785101	11.11232428	7.615296564	1.258678467
cg06204838	0.048894411	0.053620523	0.061038553	#DIV/0!
